Family	Min_TE_length	Max_TE_length	Counts	nb_of_insertion	nb_of_expressed_insertion	Most_expressed_insertion
IVK_DM	86	7385	6	43	5	IVK_DM_3L_RaGOO_19656431_19661800
DM297	85	10824	3	66	3	DM297_I_3L_RaGOO_24689115_24695812
TAHRE	106	17304	7	22	6	TAHRE_3L_RaGOO_20705_26581
TART-A	83	8595	15	15	5	TART-A_3L_RaGOO_24811786_24820381
HETA	109	8920	14	16	7	HETA_X_RaGOO_85920_94840
MDG1	129	7345	2	35	2	MDG1_LTR_X_RaGOO_18264248_18271286
ZAM	99	14968	1	48	1	ZAM_I_2L_RaGOO_22704391_22713973
QUASIMODO	87	12423	6	73	4	QUASIMODO_LTR_2L_RaGOO_10703_23126
Copia	94	5148	161	14	11	Copia_LTR_3L_RaGOO_10022428_10027467
QUASIMODO	132	12745	3	73	3	QUASIMODO_I_3R_RaGOO_2587487_2599059
BLASTOPIA	92	4995	0	37	0	BLASTOPIA_I_X_RaGOO_21431444_21432714
HOBO	84	4699	1	123	1	HOBO_2L_RaGOO_8465431_8466942
M4DM	122	2799	2	81	2	M4DM_3L_RaGOO_25693372_25696157
IDEFIX	98	10298	3	75	3	IDEFIX_LTR_3R_RaGOO_1194385_1200206
DNAREP1_DM	81	1186	4	3319	4	DNAREP1_DM_3R_RaGOO_3686735_3687895
BS2	82	9056	1	121	1	BS2_2R_RaGOO_2406301_2407991
QUASIMODO2	81	6492	0	16	0	QUASIMODO2-LTR_DM_X_RaGOO_9231735_9232233
I_DM	95	9320	4	116	3	I_DM_2R_RaGOO_5384607_5388061
ROO	81	15803	515	636	10	ROO_I_X_RaGOO_4684190_4696799
ROO	107	11105	2	59	2	ROO_LTR_X_RaGOO_10174670_10183502
FW2_DM	81	9476	2	215	2	FW2_DM_3R_RaGOO_1276264_1280608
IDEFIX	81	10843	1	77	1	IDEFIX_I_3L_RaGOO_23168345_23170287
BS	87	7501	2	70	2	BS_3L_RaGOO_25670374_25671727
BLOOD	81	11421	15	12	3	BLOOD_LTR_2L_RaGOO_2148055_2155527
TRANSPAC	5188	5251	0	11	0	TRANSPAC_LTR_X_RaGOO_19519061_19524304
POGO	233	3577	220	25	18	POGO_X_RaGOO_21863530_21864880
DM412	87	7034	8	63	4	DM412_3R_RaGOO_3388391_3389451
LINEJ1_DM	81	9493	0	109	0	LINEJ1_DM_X_RaGOO_21500081_21500582
NOMAD	2645	7695	2	13	2	NOMAD_LTR_3R_RaGOO_1014813_1022279
ACCORD2	85	14301	3	76	1	ACCORD2_I_3R_RaGOO_2704640_2718281
MICROPIA	136	8922	36	92	18	MICROPIA_I_X_RaGOO_17340828_17345349
DM297	81	9998	3	68	2	DM297_LTR_2L_RaGOO_21241556_21249211
BURDOCK	2547	9008	4	13	4	BURDOCK_LTR_3R_RaGOO_24036640_24040804
S2_DM	151	2392	0	27	0	S2_DM_X_RaGOO_21341507_21342141
TART_B1	81	6178	7	33	2	TART_B1_2R_RaGOO_23920095_23923160
S_DM	104	3166	6	143	6	S_DM_3R_RaGOO_4710881_4712605
POGON1	95	191	0	33	0	POGON1_X_RaGOO_18687224_18687414
FB4_DM	88	7578	3	207	3	FB4_DM_4_RaGOO_769101_769563
G4_DM	93	6021	0	55	0	G4_DM_X_RaGOO_21288081_21288389
DOC6_DM	140	4219	3	12	2	DOC6_DM_X_RaGOO_7744303_7748522
DMRT1A	85	8463	1	82	1	DMRT1A_X_RaGOO_20986542_20994365
DOC	106	8479	7	90	7	DOC_X_RaGOO_9354900_9359597
MDG3	267	6745	0	18	0	MDG3_LTR_X_RaGOO_20548472_20548775
DMRT1B	81	10034	3	116	2	DMRT1B_3R_RaGOO_3489075_3498678
DMCR1A	83	8863	84	578	7	DMCR1A_2L_RaGOO_22244771_22248301
G2_DM	86	3757	0	29	0	G2_DM_X_RaGOO_22033014_22033863
NOF_FB	145	4730	0	8	0	NOF_FB_3R_RaGOO_20805074_20805219
DIVER	246	6124	0	8	0	DIVER_LTR_X_RaGOO_21883297_21889296
BS3_DM	87	2183	0	56	0	BS3_DM_X_RaGOO_21935688_21936234
Transib-N1_DM	82	868	0	47	0	Transib-N1_DM_X_RaGOO_21982034_21982520
DOC4_DM	111	5020	0	45	0	DOC4_DM_X_RaGOO_21962547_21963663
R1_DM	86	5365	3	44	2	R1_DM_X_RaGOO_21996524_22001556
TC1_DM	104	2687	1	54	1	TC1_DM_4_RaGOO_119749_120916
Gypsy6A_LTR	107	7605	0	56	0	Gypsy6A_LTR_X_RaGOO_21298523_21298735
PROTOP	81	8385	2	291	2	PROTOP_3L_RaGOO_26068646_26074787
G_DM	85	6499	0	43	0	G_DM_X_RaGOO_22027561_22029008
G6_DM	214	3511	0	20	0	G6_DM_X_RaGOO_22029501_22033012
G5_DM	98	4775	0	67	0	G5_DM_X_RaGOO_21991362_21991911
TC1-2_DM	97	1629	3	55	2	TC1-2_DM_2R_RaGOO_2258745_2260197
Transib5	106	5116	1	30	1	Transib5_3R_RaGOO_2639090_2641615
PROTOP_B	82	2140	5	346	1	PROTOP_B_4_RaGOO_175159_176280
Jockey2	84	3418	0	44	0	Jockey2_X_RaGOO_21960656_21961103
HELENA_RT	105	1854	0	23	0	HELENA_RT_X_RaGOO_21570155_21571504
Invader3	81	7471	0	26	0	Invader3_LTR_X_RaGOO_21023392_21023646
TRANSIB1	82	2157	0	19	0	TRANSIB1_3R_RaGOO_2699100_2700573
Invader4	137	8910	0	13	0	Invader4_I_3R_RaGOO_1237781_1238837
TRANSIB2	164	4052	1	48	1	TRANSIB2_3L_RaGOO_25693716_25697768
Invader3	90	7829	0	32	0	Invader3_I_X_RaGOO_21501068_21502096
Invader2	82	7609	1	42	1	Invader2_LTR_2R_RaGOO_3203890_3211091
MDG1	86	12111	10	53	2	MDG1_I_2R_RaGOO_916381_928492
DMLTR5	90	7074	0	15	0	DMLTR5_X_RaGOO_6730302_6737331
STALKER4	81	11863	0	68	0	STALKER4_LTR_X_RaGOO_21263114_21263547
DMRT1C	86	9656	0	76	0	DMRT1C_X_RaGOO_21562655_21564504
Chimpo	204	4571	2	11	2	Chimpo_LTR_3L_RaGOO_24516813_24521384
TIRANT	196	10225	1	18	1	TIRANT_LTR_2L_RaGOO_20669409_20674055
Copia1	245	4280	1	17	1	Copia1-I_DM_2R_RaGOO_2841061_2845341
Baggins1	121	10648	2	137	2	Baggins1_3L_RaGOO_24293575_24300805
Invader4	102	3449	1	26	1	Invader4_LTR_2L_RaGOO_21089350_21091057
G5A_DM	84	3179	0	76	0	G5A_DM_X_RaGOO_21990167_21991360
Mariner2_DM	101	1108	1	48	1	Mariner2_DM_4_RaGOO_638924_639677
DOC2_DM	92	8869	0	47	0	DOC2_DM_X_RaGOO_21227736_21230306
PROTOP_A	81	1847	0	310	0	PROTOP_A_X_RaGOO_21310570_21310675
DOC3_DM	85	9472	2	109	2	DOC3_DM_X_RaGOO_21994216_21996199
GTWIN	92	10863	1	57	1	GTWIN_I_3L_RaGOO_25605414_25606835
DM412B_LTR	81	8866	1	21	1	DM412B_LTR_3R_RaGOO_21307972_21315446
BEL	173	8015	0	23	0	BEL_I_X_RaGOO_19839827_19841198
Gypsy5	111	11172	0	31	0	Gypsy5_I_X_RaGOO_21295781_21298495
BATUMI	103	13112	0	38	0	BATUMI_I_3R_RaGOO_3477424_3485637
Gypsy4	97	12393	1	68	1	Gypsy4_I_3R_RaGOO_888968_899072
Gypsy9	105	5861	0	33	0	Gypsy9_I_3R_RaGOO_3329264_3330128
MAX	99	10180	2	49	1	MAX_I_2L_RaGOO_21088720_21091664
Invader6	171	5285	3	7	2	Invader6_LTR_3R_RaGOO_2712551_2717731
Gypsy12A_LTR	86	9469	12	99	7	Gypsy12A_LTR_3R_RaGOO_1864004_1865329
Copia2	167	4518	0	12	0	Copia2_LTR_DM_X_RaGOO_21946454_21947887
Gypsy1	120	6916	0	30	0	Gypsy1-LTR_DM_X_RaGOO_21148089_21148209
BARI1	98	1563	0	10	0	BARI1_X_RaGOO_21428317_21429694
CIRCE	123	7880	0	36	0	CIRCE_X_RaGOO_22014034_22017447
Chouto	104	9537	19	35	1	Chouto_I_2L_RaGOO_21770014_21779551
NINJA	122	6158	0	30	0	NINJA_I_3R_RaGOO_1380315_1382175
Gypsy8	84	7816	0	127	0	Gypsy8_I_4_RaGOO_140129_140700
Invader1	84	4868	3	79	3	Invader1_LTR_3R_RaGOO_1539422_1544290
DM176	114	12780	3	34	3	DM176_LTR_3R_RaGOO_1830992_1834504
GTWIN	133	7383	1	19	1	GTWIN_LTR_X_RaGOO_21148680_21156063
Copia1	202	202	0	2	0	Copia1-LTR_DM_X_RaGOO_21072663_21072865
Invader6	111	7833	2	38	2	Invader6_I_3L_RaGOO_25628103_25632398
Gypsy	82	11041	9	39	3	Gypsy_I_3R_RaGOO_3387294_3394492
DIVER2	105	5668	0	35	0	DIVER2_LTR_3R_RaGOO_3516187_3518074
G3_DM	111	8485	2	33	1	G3_DM_2L_RaGOO_21721006_21729491
TRANSIB4	156	1830	0	14	0	TRANSIB4_X_RaGOO_21378972_21379342
Bica	161	6035	0	15	0	Bica_LTR_3R_RaGOO_2884824_2888297
DIVER2	85	7967	0	124	0	DIVER2_I_X_RaGOO_21876066_21878259
Invader1	131	1675	1	23	1	Invader1_I_3L_RaGOO_26375243_26376911
Invader2	98	6867	0	22	0	Invader2_I_3R_RaGOO_2539040_2541325
Gypsy12	110	11394	63	28	4	Gypsy12_LTR_3R_RaGOO_960900_963176
Gypsy4	146	6778	0	18	0	Gypsy4_LTR_3R_RaGOO_3837002_3837297
Gypsy12	88	8833	2	47	1	Gypsy12_I_3L_RaGOO_25952023_25957990
HMSBEAGLE_I	88	12457	0	78	0	HMSBEAGLE_I_X_RaGOO_21289318_21292566
FROGGER	102	4360	0	9	0	FROGGER_LTR_3R_RaGOO_2013569_2013672
Invader5	126	1823	0	9	0	Invader5_I_3R_RaGOO_2533077_2534426
TRANSIB3	94	5046	16	35	3	TRANSIB3_X_RaGOO_21749054_21750759
Invader5	157	6420	0	11	0	Invader5_LTR_X_RaGOO_21988703_21989216
Gypsy2	91	9003	1	33	1	Gypsy2-LTR_DM_3L_RaGOO_24743487_24752490
Gypsy2	104	11000	1	44	1	Gypsy2-I_DM_2R_RaGOO_1185019_1189865
Gypsy8	82	8878	3	88	2	Gypsy8_LTR_3R_RaGOO_3489645_3494741
STALKER4	82	10083	2	54	2	STALKER4_I_3L_RaGOO_23196825_23206571
DIVER	146	10026	0	7	0	DIVER_I_X_RaGOO_22034020_22035202
Gypsy11	81	6280	0	24	0	Gypsy11_I_X_RaGOO_5594355_5594441
Gypsy6	87	7742	0	16	0	Gypsy6_LTR_X_RaGOO_21240459_21240871
TIRANT	115	8202	1	10	1	TIRANT_I_2R_RaGOO_626164_626883
DOC5_DM	126	9265	3	66	3	DOC5_DM_3L_RaGOO_25023332_25026768
DMTOM1	94	8006	8	21	1	DMTOM1_LTR_X_RaGOO_11258002_11258389
DM1731	125	7685	0	23	0	DM1731_I_X_RaGOO_21597504_21598676
LOOPER1_DM	116	2477	0	10	0	LOOPER1_DM_X_RaGOO_21779812_21780142
Gypsy7	94	5452	0	17	0	Gypsy7_LTR_X_RaGOO_21750898_21751165
FW3_DM	91	4486	0	40	0	FW3_DM_X_RaGOO_21281765_21282290
Gypsy2	91	7143	0	34	0	Gypsy2_I_3R_RaGOO_3588664_3588769
Gypsy2	88	9080	0	33	0	Gypsy2_LTR_X_RaGOO_21160221_21163708
R1-2_DM	86	3300	0	16	0	R1-2_DM_3R_RaGOO_2642047_2643224
Copia	101	8722	0	35	0	Copia_I_3R_RaGOO_3646475_3647440
BURDOCK	110	8538	0	19	0	BURDOCK_I_3R_RaGOO_3564512_3565115
Gypsy3	176	9346	0	18	0	Gypsy3_I_X_RaGOO_21144476_21148088
Gypsy10	157	5509	1	17	1	Gypsy10_I_3R_RaGOO_3432216_3433731
NINJA	167	5455	0	16	0	NINJA_LTR_X_RaGOO_22013046_22013933
TOM	81	12151	0	43	0	TOM_I_X_RaGOO_20991625_20991894
NOMAD	118	10512	0	50	0	NOMAD_I_X_RaGOO_21274295_21280935
ROOA	149	11278	1	39	1	ROOA_LTR_3R_RaGOO_3224730_3231813
MINOS	86	1543	0	16	0	MINOS_X_RaGOO_4591707_4591814
MuDR-1_DEl	114	114	0	3	0	MuDR-1_DEl_3R_RaGOO_734588_734702
ACCORD2	144	13564	4	25	1	ACCORD2_LTR_3L_RaGOO_24099817_24111803
DM176	102	11487	1	20	1	DM176_I_2L_RaGOO_22492424_22494024
Gypsy6	92	9867	0	56	0	Gypsy6_I_X_RaGOO_21230310_21230989
ROOA	95	6861	0	16	0	ROOA_I_3R_RaGOO_2675958_2677274
MICROPIA	108	5688	0	26	0	MICROPIA_LTR_X_RaGOO_22031494_22031772
Copia2	332	3891	2	33	1	Copia2_I_2L_RaGOO_22718178_22722069
QUASIMODO2	94	6463	1	13	1	QUASIMODO2-I_DM_3L_RaGOO_24183512_24185244
Gypsy	82	12951	2	64	1	Gypsy_LTR_2R_RaGOO_812580_825531
ACCORD	435	7206	2	10	2	ACCORD_LTR_2R_RaGOO_10965448_10972654
ZAM	291	5847	0	9	0	ZAM_LTR_X_RaGOO_21261349_21261684
BEL	101	6086	0	9	0	BEL_LTR_X_RaGOO_19596609_19599800
ROVER	82	13831	1	36	1	ROVER-LTR_DM_2R_RaGOO_3256225_3263561
BARI_DM	1232	1732	1	16	1	BARI_DM_2R_RaGOO_42130_43850
Bica	109	4262	0	17	0	Bica_I_3R_RaGOO_4042304_4046134
MAX	81	13374	9	23	2	MAX_LTR_3L_RaGOO_3640512_3649209
Gypsy5	146	8200	0	15	0	Gypsy5_LTR_X_RaGOO_21276237_21276399
ROVER	117	5572	1	8	1	ROVER-I_DM_X_RaGOO_21298736_21304020
TABOR	181	6471	1	13	1	TABOR_I_3R_RaGOO_1081451_1084994
Stalker3_LTR	329	387	0	4	0	Stalker3_LTR_3L_RaGOO_26480807_26481192
ACCORD	113	5570	1	7	1	ACCORD_I_2R_RaGOO_818637_823373
Gypsy9	139	8887	0	12	0	Gypsy9_LTR_4_RaGOO_614187_614326
Stalker2	90	7756	2	26	2	Stalker2_I_3R_RaGOO_12477203_12482106
TABOR	88	7255	0	20	0	TABOR_LTR_X_RaGOO_21974593_21974685
TLD2	102	387	0	11	0	TLD2_3R_RaGOO_3465853_3466132
Gypsy10	205	6909	0	18	0	Gypsy10_LTR_3R_RaGOO_766942_767305
BATUMI	85	15405	2	19	2	BATUMI_LTR_3R_RaGOO_1890606_1906011
P-1_DY	133	133	0	1	0	P-1_DY_2R_RaGOO_1443715_1443848
Gypsy11	156	5165	2	16	1	Gypsy11_LTR_2R_RaGOO_1478181_1482030
Gypsy1	92	10441	12	29	2	Gypsy1-I_DM_3L_RaGOO_24127725_24132950
BS4_DM	103	750	0	3	0	BS4_DM_3R_RaGOO_4052534_4053284
Gypsy3	114	420	0	11	0	Gypsy3_LTR_X_RaGOO_21245864_21246165
Chouto	337	6938	0	14	0	Chouto_LTR_3R_RaGOO_4489408_4489923
