TE_ID	Gene_ID	Read_ID	Nb_of_aligned_bp_on_TE	Chrom	Start	End
TRANSIB3$4_RaGOO$892038$893004	FBgn0025726	a8df727e-dd38-4263-a530-60a07a864161	151	4_RaGOO	890791	894197
TRANSIB3$4_RaGOO$892038$893004	FBgn0263093	a8df727e-dd38-4263-a530-60a07a864161	151	4_RaGOO	890791	894197
PROTOP_A$4_RaGOO$893818$894892	FBgn0025726	a8df727e-dd38-4263-a530-60a07a864161	369	4_RaGOO	890791	894197
PROTOP_A$4_RaGOO$893818$894892	FBgn0263093	a8df727e-dd38-4263-a530-60a07a864161	369	4_RaGOO	890791	894197
ROO_I$2L_RaGOO$1537349$1537503	FBgn0031343	8a8e30e9-472b-43f0-86a5-4ca97fd5f253	148	2L_RaGOO	1536549	1538276
ROO_I$3R_RaGOO$14005164$14015074	FBgn0011217	0b970a51-49d5-4216-a161-e45483283dc2	486	3R_RaGOO	14014548	14023021
ROO_I$X_RaGOO$8989745$8989983	FBgn0030121	3bb27627-7a4f-4f3b-8eb0-86ff2771f710	225	X_RaGOO	8989613	8991926
NOMAD_I$X_RaGOO$21274295$21280935	FBgn0085521	f132e6e8-3189-4d60-af8e-41b68009b681	667	X_RaGOO	21278089	21278854
DIVER2_I$3L_RaGOO$23674499$23674987	FBgn0264570	9837a90a-4cfd-44ee-8bdc-404a58f7e598	451	3L_RaGOO	23674285	23675298
TC1_DM$3L_RaGOO$23675200$23675813	FBgn0264570	9837a90a-4cfd-44ee-8bdc-404a58f7e598	95	3L_RaGOO	23674285	23675298
PROTOP$3L_RaGOO$26068646$26074787	FBgn0024804	70ce1f3a-f8db-47ef-9ae7-395c2a2d59d0	319	3L_RaGOO	26059648	26217784
ZAM_I$3L_RaGOO$26153350$26160865	FBgn0024804	70ce1f3a-f8db-47ef-9ae7-395c2a2d59d0	129	3L_RaGOO	26059648	26217784
ROO_I$3R_RaGOO$12957465$12959168	FBgn0015778	330134a9-7675-4acd-b9bb-e418035862b0	1225	3R_RaGOO	12956293	12959232
ROO_I$2R_RaGOO$6652153$6652308	FBgn0050497	7ec033d4-d519-46e1-8134-68a43def64f3	153	2R_RaGOO	6650717	6656864
ROO_I$2R_RaGOO$6652153$6652308	FBgn0266526	7ec033d4-d519-46e1-8134-68a43def64f3	153	2R_RaGOO	6650717	6656864
ROO_I$3L_RaGOO$19559699$19561114	FBgn0001324	7a8e1d70-39f1-4cd3-915a-e8f0edde374e	24	3L_RaGOO	19561090	19561801
ROO_I$3R_RaGOO$14005164$14015074	FBgn0011217	6e3e74cb-ba80-4d2c-9795-5caca2d420b2	495	3R_RaGOO	14014548	14023020
NOMAD_I$X_RaGOO$21274295$21280935	FBgn0085521	3cce8670-9228-4d68-b8ca-f1934010b606	680	X_RaGOO	21278092	21278868
DMCR1A$2R_RaGOO$4646976$4654778	FBgn0050438	53532b4f-ac6b-4d92-b0a5-d97e56d70e30	268	2R_RaGOO	4652332	4673291
PROTOP$3L_RaGOO$26068646$26074787	FBgn0024804	e399a79e-1fd5-4645-b2c0-c43754b9baa5	323	3L_RaGOO	26059638	26217761
ZAM_I$3L_RaGOO$26153350$26160865	FBgn0024804	e399a79e-1fd5-4645-b2c0-c43754b9baa5	132	3L_RaGOO	26059638	26217761
TART_B1$2L_RaGOO$11931931$11932156	FBgn0042125	a0fb033a-8ba0-4fa9-9222-f682cbc7a8ae	220	2L_RaGOO	11931746	11933083
ROO_I$3L_RaGOO$2979921$2980420	FBgn0035388	39578ab0-1c44-410d-993f-7b02e62fb194	316	3L_RaGOO	2979581	2981908
NOMAD_I$2L_RaGOO$22600426$22604820	FBgn0267986	33b5b083-14dd-471e-b661-d225e8df187f	358	2L_RaGOO	22600522	22601033
ROO_I$2L_RaGOO$1537349$1537503	FBgn0031343	727f6f3a-51d1-4ed8-839f-5e8799c7a1c2	148	2L_RaGOO	1536544	1538556
ROO_I$3R_RaGOO$14005164$14015074	FBgn0011217	02555990-ac2c-4ac9-b777-b393a6b51603	490	3R_RaGOO	14014549	14023070
ROO_I$3R_RaGOO$14005164$14015074	FBgn0011217	eace773b-404f-4610-bf43-a20ee240e559	457	3R_RaGOO	14014609	14022998
ROO_I$3L_RaGOO$884443$885131	FBgn0052479	2d2c73f1-a7c6-4b99-97df-90340d00341c	659	3L_RaGOO	884066	888270
ROO_I$3R_RaGOO$12957465$12959168	FBgn0015778	e5d79c3d-9299-4a66-bac1-58e8eab08fcd	1244	3R_RaGOO	12956293	12959264
ROO_I$3R_RaGOO$14005164$14015074	FBgn0011217	99ccb5bc-e162-4357-ac4c-13d4523b90e1	514	3R_RaGOO	14014551	14023029
ROO_I$3L_RaGOO$884443$885131	FBgn0052479	77ff4129-7761-4b75-9453-a4acf8f140f0	661	3L_RaGOO	884015	888261
ROO_I$3R_RaGOO$14005164$14015074	FBgn0011217	fb5fb0af-5ffc-4085-92a2-cc0c3f121366	516	3R_RaGOO	14014548	14022997
