TE_ID	Gene_ID	Read_ID	Nb_of_aligned_bp_on_TE	Chrom	Start	End
DMTOM1_LTR$X_RaGOO$11258002$11258389	FBgn0030318	c903b374-4ab8-49a9-b769-100c41ac87fe	293	X_RaGOO	11252163	11258314
DMCR1A$2L_RaGOO$22244771$22248301	FBgn0058439	eb6b8006-a373-475a-8ba9-48c55f3e5d41	655	2L_RaGOO	22246452	22247198
PROTOP$3L_RaGOO$26068646$26074787	FBgn0024804	0880cbaf-3744-43ea-9c40-ceab2e62c928	283	3L_RaGOO	26073200	26180872
ZAM_I$3L_RaGOO$26153350$26160865	FBgn0024804	0880cbaf-3744-43ea-9c40-ceab2e62c928	189	3L_RaGOO	26073200	26180872
DMCR1A$2R_RaGOO$3328937$3335622	FBgn0260798	1c4345c6-fd6a-4362-8226-755e3c8f7b38	44	2R_RaGOO	3264800	3389993
DNAREP1_DM$2R_RaGOO$4139223$4139651	FBgn0033010	b6166ae0-f2ad-4ca5-8fed-17717f2aed50	93	2R_RaGOO	4138415	4139318
HMSBEAGLE_I$3R_RaGOO$17435842$17436040	FBgn0011481	6515311f-5f41-4260-8100-ce3a66237170	176	3R_RaGOO	17434012	17438622
DNAREP1_DM$2R_RaGOO$4741135$4742020	FBgn0039970	30dacf07-28a6-4920-b573-059fd9d42e71	182	2R_RaGOO	4739990	4742926
ROO_I$X_RaGOO$4684190$4696799	FBgn0052772	17191f47-2b82-4d89-a7c4-480581d30702	955	X_RaGOO	4694750	4700692
ROO_I$X_RaGOO$4684190$4696799	FBgn0029733	c7dc09db-d8c3-47b8-a362-a6bbcfd45b53	1765	X_RaGOO	4692697	4694583
DNAREP1_DM$2R_RaGOO$4741135$4742020	FBgn0039970	f6507c94-289c-4516-9543-b17d880b2afd	183	2R_RaGOO	4740059	4742920
DNAREP1_DM$2R_RaGOO$4697091$4697419	FBgn0267861	ffefe932-2e8a-4f80-84a5-1c8fec1326e6	18	2R_RaGOO	4697401	4698716
ROO_I$2R_RaGOO$14213942$14227652	FBgn0034021	9bbc2339-657c-4521-83d6-67d93037d41d	931	2R_RaGOO	14211142	14221839
ROO_I$2R_RaGOO$14213942$14227652	FBgn0034021	5d7f09d7-0dc8-4b86-b944-f49af1bdab8b	975	2R_RaGOO	14211135	14221843
ROO_I$2R_RaGOO$14213942$14227652	FBgn0034021	4d221662-5b07-4d91-aad4-b0b5c6ca6d0a	957	2R_RaGOO	14211166	14221841
HMSBEAGLE_I$3L_RaGOO$23505241$23510771	FBgn0040056	cc41f3b1-39e1-4a83-9575-2282c4e20355	65	3L_RaGOO	23510705	23521657
ROO_I$3R_RaGOO$14005164$14015074	FBgn0011217	cc2eb5cb-6460-4464-aceb-934e1e5f539c	435	3R_RaGOO	14014597	14022608
ROO_I$3R_RaGOO$7634326$7634483	FBgn0260386	f5bc596e-4ee3-45bf-8e1a-8d0943618ebd	156	3R_RaGOO	7626102	7636408
ROO_I$3R_RaGOO$14005164$14015074	FBgn0011217	92716fe7-e9d2-4562-a878-6f2fc46046c8	575	3R_RaGOO	14014483	14022514
DMTOM1_LTR$X_RaGOO$11258002$11258389	FBgn0030318	977f7e41-5c91-458e-9050-b6a0f471ee46	289	X_RaGOO	11252145	11258311
ROO_I$X_RaGOO$4684190$4696799	FBgn0029733	1c50532d-bede-472c-9d8f-9a441fdb1e6b	1778	X_RaGOO	4692582	4694495
ROO_I$2R_RaGOO$10095311$10095825	FBgn0033616	d1c61e3c-b2be-4201-8216-33f236722859	512	2R_RaGOO	10094367	10096344
PROTOP$3L_RaGOO$26068646$26074787	FBgn0024804	ca182285-fa2e-4a57-8ced-ca3d65cc16e7	318	3L_RaGOO	26073181	26181067
ZAM_I$3L_RaGOO$26153350$26160865	FBgn0024804	ca182285-fa2e-4a57-8ced-ca3d65cc16e7	122	3L_RaGOO	26073181	26181067
ROO_I$2R_RaGOO$14213942$14227652	FBgn0034021	9ca5c334-493a-4dd3-aac7-a67b408f9ba1	883	2R_RaGOO	14211138	14386738
ROO_I$3R_RaGOO$14005164$14015074	FBgn0011217	c0abc799-0b88-433b-9b4a-8f29b4855974	561	3R_RaGOO	14014486	14022637
DNAREP1_DM$3R_RaGOO$3344216$3344533	FBgn0263977	bfbc0c4c-8685-4738-891e-5cac3fa98b11	182	3R_RaGOO	3334062	3344399
DNAREP1_DM$2R_RaGOO$4741135$4742020	FBgn0039970	48d40a59-15fc-4769-bf80-f5ccdb68241a	169	2R_RaGOO	4740396	4742925
DMCR1A$2L_RaGOO$22244771$22248301	FBgn0058439	6ec0ac0f-100c-45f0-a216-4265617d04a9	493	2L_RaGOO	22246499	22247032
ROO_I$2R_RaGOO$14213942$14227652	FBgn0034021	0ad5f0d0-45e6-4e48-8f83-4758364e25f3	904	2R_RaGOO	14211146	14221839
ROO_I$X_RaGOO$4684190$4696799	FBgn0029733	a6fc2a51-b5b6-4e4e-9b48-7549268587f0	1609	X_RaGOO	4692644	4694493
ROO_I$2R_RaGOO$14213942$14227652	FBgn0034021	d30a128e-06e0-4693-8417-2b917224ed2d	976	2R_RaGOO	14212825	14221845
ROO_I$2R_RaGOO$14213942$14227652	FBgn0034021	a5849939-b59c-4b51-abf5-7ef6f88686e9	974	2R_RaGOO	14211138	14221845
ROO_I$2R_RaGOO$14213942$14227652	FBgn0034021	a0ec9b77-8f8a-4b04-8995-dcc1b25ee372	966	2R_RaGOO	14211166	14221843
ROO_I$3R_RaGOO$14005164$14015074	FBgn0011217	74348514-669a-4a87-9943-842d463a483e	515	3R_RaGOO	14014548	14022511
ROO_I$2R_RaGOO$14213942$14227652	FBgn0034021	da6452bf-362f-46e3-bf21-1ebc3083ba08	959	2R_RaGOO	14211135	14221844
ROO_I$2R_RaGOO$14213942$14227652	FBgn0034021	561f1689-ab3b-4345-8e3d-d3ba1daf5853	956	2R_RaGOO	14211135	14221846
DNAREP1_DM$3L_RaGOO$19449390$19449880	FBgn0036900	295e9c60-ea8d-4b1e-9b39-03494184319e	127	3L_RaGOO	19449740	19452539
ROO_I$X_RaGOO$8989745$8989983	FBgn0030121	7821e35a-34ad-4e72-a34b-39135b093076	235	X_RaGOO	8989602	8990101
ROO_I$3R_RaGOO$14005164$14015074	FBgn0011217	cc841cf8-40de-47b9-96a7-1345ff712287	360	3R_RaGOO	14014491	14022509
ROO_I$3L_RaGOO$11011384$11011724	FBgn0036134	faaf7435-c5be-45cf-9aaf-180bf1e88d6b	328	3L_RaGOO	11008606	11015638
ROO_I$X_RaGOO$4684190$4696799	FBgn0029733	0489261f-6251-44b6-a0fa-7d3973933e6d	1753	X_RaGOO	4692577	4694477
DNAREP1_DM$2R_RaGOO$4741135$4742020	FBgn0039970	49586587-f0cd-497e-8212-f92fbe760476	189	2R_RaGOO	4739952	4742928
DNAREP1_DM$3L_RaGOO$19449390$19449880	FBgn0036900	7763ad06-edad-4880-ab37-2a6d0a8cf695	36	3L_RaGOO	19449843	19452534
ROO_I$2R_RaGOO$14213942$14227652	FBgn0034021	466bb77e-ad6c-4635-b2f3-7bf49b1abe45	898	2R_RaGOO	14211133	14221845
ROO_I$2R_RaGOO$14213942$14227652	FBgn0034021	4030daee-505b-4258-86d0-42a33038c35b	935	2R_RaGOO	14211181	14221845
DMTOM1_LTR$X_RaGOO$11258002$11258389	FBgn0030318	bf5efe3e-0851-49bd-a0ce-b6522da7daeb	291	X_RaGOO	11252145	11258309
ROO_I$2R_RaGOO$13238874$13250807	FBgn0024698	b7864e1f-5556-4adb-b483-d68591d65b33	1301	2R_RaGOO	13240557	13242060
ROO_I$3R_RaGOO$14005164$14015074	FBgn0038256	3b932dc6-36e0-47e2-ad8a-a2ea2f9abd5a	1619	3R_RaGOO	14006496	14013368
DMRPR$X_RaGOO$12610091$12610253	FBgn0052642	c0902faf-c7b0-4c83-a9a1-1d05b5205fd0	151	X_RaGOO	12609237	12610715
DMCR1A$2R_RaGOO$3328937$3335622	FBgn0260798	841dd4e9-95af-4a8b-ae40-2c4a16f2359f	47	2R_RaGOO	3264813	3389978
HMSBEAGLE_I$3L_RaGOO$23505241$23510771	FBgn0040056	5255178a-38ca-419f-ad62-98e9876697b1	63	3L_RaGOO	23510705	23521672
DNAREP1_DM$2R_RaGOO$4741135$4742020	FBgn0039970	42fd3fe6-e19c-4f58-a6eb-9e735a9bbf62	189	2R_RaGOO	4739991	4742920
HMSBEAGLE_I$X_RaGOO$4481038$4481298	FBgn0011760	e07a1ce2-6b85-4adc-b369-3a62e011faa0	244	X_RaGOO	4480875	4492132
ROO_I$3R_RaGOO$14005164$14015074	FBgn0011217	0430f0cd-24fe-4f2b-ac41-73256d2ca091	316	3R_RaGOO	14014508	14022578
DMCR1A$2R_RaGOO$3328937$3335622	FBgn0260798	60c6bcfd-0c27-4262-897f-ccae2c7b032f	52	2R_RaGOO	3264859	3390017
DNAREP1_DM$2R_RaGOO$4741135$4742020	FBgn0039970	b3582f76-7bc3-421c-8e7f-212b20892da2	190	2R_RaGOO	4739986	4742919
DNAREP1_DM$2L_RaGOO$10385196$10385374	FBgn0032240	78294a7c-4c96-4090-84d7-d3a494500cc1	171	2L_RaGOO	10384247	10386218
DNAREP1_DM$2L_RaGOO$10385196$10385374	FBgn0067622	78294a7c-4c96-4090-84d7-d3a494500cc1	171	2L_RaGOO	10384247	10386218
DMTOM1_LTR$X_RaGOO$11258002$11258389	FBgn0030318	dff4d622-6eba-4a6f-865d-c7febce30849	288	X_RaGOO	11250058	11258314
ROO_I$2R_RaGOO$13238874$13250807	FBgn0267824	693511a9-7f8b-46fe-96a9-cc7659408950	1248	2R_RaGOO	13224656	13240289
ROO_I$X_RaGOO$4684190$4696799	FBgn0029733	d331c381-faeb-448d-bb79-623d417dfe70	1552	X_RaGOO	4692804	4694472
DNAREP1_DM$2R_RaGOO$4741135$4742020	FBgn0039970	b05ce199-87d8-4136-8dd8-0fdcb36904ce	179	2R_RaGOO	4739948	4742911
DNAREP1_DM$2R_RaGOO$4741135$4742020	FBgn0039970	76f29b64-30a6-4b55-a9ab-d20c7809b0be	187	2R_RaGOO	4739990	4742919
ROO_I$2R_RaGOO$14213942$14227652	FBgn0034021	57328cd6-3c24-4d21-b151-b3915f7a395c	997	2R_RaGOO	14211135	14221845
ROO_I$X_RaGOO$4684190$4696799	FBgn0029733	2834c163-9b88-49af-b14b-a253d76cd739	1568	X_RaGOO	4692655	4694513
DNAREP1_DM$2L_RaGOO$10385196$10385374	FBgn0032240	41f2424d-df6f-4fdc-9b69-98a854a15438	174	2L_RaGOO	10384212	10386208
DNAREP1_DM$2L_RaGOO$10385196$10385374	FBgn0067622	41f2424d-df6f-4fdc-9b69-98a854a15438	174	2L_RaGOO	10384212	10386208
ROO_I$2R_RaGOO$14213942$14227652	FBgn0034021	4a0abeb5-737d-4e48-8328-9b740eac2aec	886	2R_RaGOO	14211138	14221845
ROO_I$3R_RaGOO$4535898$4536384	FBgn0010313	309e75cf-d8ef-49c8-9e5f-f325b40c5945	117	3R_RaGOO	4534637	4536579
ROO_I$X_RaGOO$4684190$4696799	FBgn0029733	22a2cf77-695c-46c3-a9a2-63b556da7f78	1662	X_RaGOO	4692647	4694462
ROO_I$3L_RaGOO$2979921$2980420	FBgn0035388	20a483d7-100d-4deb-8eb9-1e86dfeefaef	324	3L_RaGOO	2977290	2982483
ROO_I$3R_RaGOO$14005164$14015074	FBgn0011217	50a08ee6-5887-4357-a3cd-f663aaeba49e	562	3R_RaGOO	14014483	14022457
ROO_I$3R_RaGOO$14005164$14015074	FBgn0038256	7ef59227-283d-4645-b3fa-7fd06ddb88a4	1381	3R_RaGOO	14006504	14012421
ROO_I$3R_RaGOO$14005164$14015074	FBgn0038256	5238c22e-8033-4e1d-bfa3-e6f51a8b4328	1426	3R_RaGOO	14006597	14013294
DNAREP1_DM$2L_RaGOO$10385196$10385374	FBgn0032240	7bb1c9ba-af7c-4a9a-81d0-da91d192c483	167	2L_RaGOO	10384220	10386205
DNAREP1_DM$2L_RaGOO$10385196$10385374	FBgn0067622	7bb1c9ba-af7c-4a9a-81d0-da91d192c483	167	2L_RaGOO	10384220	10386205
DMTOM1_LTR$X_RaGOO$11258002$11258389	FBgn0030318	407fca14-912c-4bc8-b52e-2ff5ebabf8c0	303	X_RaGOO	11252145	11258314
ROO_I$2R_RaGOO$14213942$14227652	FBgn0034021	23d3ba47-c1d9-4af2-beda-bfae0984d0c2	975	2R_RaGOO	14211166	14221845
ROO_I$3R_RaGOO$14005164$14015074	FBgn0038256	2888a603-abce-4216-baad-c972f222f9a6	1657	3R_RaGOO	14006504	14012639
S2_DM$2L_RaGOO$4991174$4991386	FBgn0010607	1436930d-6cb8-48c3-a11b-e7aced8e088c	186	2L_RaGOO	4987587	4991367
ROO_I$2R_RaGOO$14213942$14227652	FBgn0034021	22034d97-eecf-44eb-b930-a0bedaec09ec	979	2R_RaGOO	14211166	14221845
ROO_I$2R_RaGOO$14213942$14227652	FBgn0034021	3cc263ec-9dac-4ce4-952d-9bc40cbbcbbb	934	2R_RaGOO	14211135	14221842
