Family	Min_TE_length	Max_TE_length	Counts	nb_of_insertion	nb_of_expressed_insertion	Most_expressed_insertion
IVK_DM	86	7385	6	43	5	IVK_DM_3L_RaGOO_19656431_19661800
DM297	81	9998	3	68	2	DM297_LTR_2L_RaGOO_21241556_21249211
TAHRE	106	17304	7	22	6	TAHRE_3L_RaGOO_20705_26581
TART-A	83	8595	15	15	5	TART-A_3L_RaGOO_24811786_24820381
HETA	109	8920	14	16	7	HETA_X_RaGOO_85920_94840
MDG1	86	12111	10	53	2	MDG1_I_2R_RaGOO_916381_928492
ZAM	291	5847	0	9	0	ZAM_LTR_X_RaGOO_21261349_21261684
QUASIMODO	132	12745	3	73	3	QUASIMODO_I_3R_RaGOO_2587487_2599059
Copia	101	8722	0	35	0	Copia_I_3R_RaGOO_3646475_3647440
BLASTOPIA	115	5028	6	9	5	BLASTOPIA_LTR_3L_RaGOO_23460661_23465627
HOBO	84	4699	1	123	1	HOBO_2L_RaGOO_8465431_8466942
M4DM	122	2799	2	81	2	M4DM_3L_RaGOO_25693372_25696157
IDEFIX	81	10843	1	77	1	IDEFIX_I_3L_RaGOO_23168345_23170287
DNAREP1_DM	81	1186	4	3319	4	DNAREP1_DM_3R_RaGOO_3686735_3687895
BS2	82	9056	1	121	1	BS2_2R_RaGOO_2406301_2407991
QUASIMODO2	94	6463	1	13	1	QUASIMODO2-I_DM_3L_RaGOO_24183512_24185244
I_DM	95	9320	4	116	3	I_DM_2R_RaGOO_5384607_5388061
ROO	107	11105	2	59	2	ROO_LTR_X_RaGOO_10174670_10183502
FW2_DM	81	9476	2	215	2	FW2_DM_3R_RaGOO_1276264_1280608
BS	87	7501	2	70	2	BS_3L_RaGOO_25670374_25671727
BLOOD	267	6708	0	5	0	BLOOD_I_3R_RaGOO_1043809_1050517
TRANSPAC	244	4731	0	3	0	TRANSPAC_I_3R_RaGOO_26707140_26711871
POGO	233	3577	220	25	18	POGO_X_RaGOO_21863530_21864880
DM412	87	7034	8	63	4	DM412_3R_RaGOO_3388391_3389451
LINEJ1_DM	81	9493	0	109	0	LINEJ1_DM_X_RaGOO_21500081_21500582
NOMAD	118	10512	0	50	0	NOMAD_I_X_RaGOO_21274295_21280935
ACCORD2	144	13564	4	25	1	ACCORD2_LTR_3L_RaGOO_24099817_24111803
MICROPIA	108	5688	0	26	0	MICROPIA_LTR_X_RaGOO_22031494_22031772
BURDOCK	110	8538	0	19	0	BURDOCK_I_3R_RaGOO_3564512_3565115
S2_DM	151	2392	0	27	0	S2_DM_X_RaGOO_21341507_21342141
TART_B1	81	6178	7	33	2	TART_B1_2R_RaGOO_23920095_23923160
S_DM	104	3166	6	143	6	S_DM_3R_RaGOO_4710881_4712605
POGON1	95	191	0	33	0	POGON1_X_RaGOO_18687224_18687414
FB4_DM	88	7578	3	207	3	FB4_DM_4_RaGOO_769101_769563
G4_DM	93	6021	0	55	0	G4_DM_X_RaGOO_21288081_21288389
DOC6_DM	140	4219	3	12	2	DOC6_DM_X_RaGOO_7744303_7748522
DMRT1A	85	8463	1	82	1	DMRT1A_X_RaGOO_20986542_20994365
