TE_ID	Gene_ID	Read_ID	Nb_of_aligned_bp_on_TE	Chrom	Start	End
ZAM_I$2L_RaGOO$21996184$22001667	FBgn0064225	3ea51e0d-602c-4b3c-b5c1-4aeb31882ce9	13	2L_RaGOO	21997459	22006982
TC1_DM$2R_RaGOO$722490$725177	FBgn0003256	5364ee99-2e4c-4d6a-97e6-b7af93537328	235	2R_RaGOO	724819	806876
ROO_I$3R_RaGOO$7634326$7634483	FBgn0037560	f5bc596e-4ee3-45bf-8e1a-8d0943618ebd	156	3R_RaGOO	7626102	7636408
MDG1_LTR$2L_RaGOO$1126248$1133534	FBgn0031294	9c29d469-cf4a-47d3-81bf-1abce06ae6f4	13	2L_RaGOO	983939	1127281
MDG1_LTR$2L_RaGOO$1126248$1133534	FBgn0003310	9c29d469-cf4a-47d3-81bf-1abce06ae6f4	13	2L_RaGOO	983939	1127281
DNAREP1_DM$2L_RaGOO$10941726$10942008	FBgn0053129	3fc061b8-653b-4096-b185-224481e4df1c	16	2L_RaGOO	10922262	10941895
QUASIMODO_I$3L_RaGOO$20053897$20054537	FBgn0250791	09d9846b-5073-4dd4-a1e1-b2a2f2ffcc7e	20	3L_RaGOO	20019432	20054225
QUASIMODO_I$3L_RaGOO$20053897$20054537	FBgn0264467	09d9846b-5073-4dd4-a1e1-b2a2f2ffcc7e	20	3L_RaGOO	20019432	20054225
DNAREP1_DM$3L_RaGOO$19244612$19244797	FBgn0052207	b27577ad-b955-4a23-b46d-87cf68250d37	11	3L_RaGOO	19244786	19246088
DNAREP1_DM$3L_RaGOO$19244612$19244797	FBgn0262031	b27577ad-b955-4a23-b46d-87cf68250d37	11	3L_RaGOO	19244786	19246088
DNAREP1_DM$4_RaGOO$456468$456655	FBgn0262731	cbbb7756-8e39-4019-ab46-2026e152f176	184	4_RaGOO	455876	457059
FB4_DM$4_RaGOO$456811$457356	FBgn0262731	cbbb7756-8e39-4019-ab46-2026e152f176	241	4_RaGOO	455876	457059
S_DM$2R_RaGOO$7347017$7347832	FBgn0050359	faa9da66-a79c-470b-961f-1b947b7d8d41	172	2R_RaGOO	7347655	7349058
DM412B_LTR$2R_RaGOO$7347845$7348087	FBgn0050359	faa9da66-a79c-470b-961f-1b947b7d8d41	228	2R_RaGOO	7347655	7349058
PROTOP_B$3L_RaGOO$22715502$22715915	FBgn0264492	9b3f7ba3-301f-464a-becf-af4e8bb342f9	266	3L_RaGOO	22711520	22715796
DNAREP1_DM$3L_RaGOO$19244612$19244797	FBgn0052207	e7ca8eb9-27ae-494b-bde5-dd1113cc1ecf	163	3L_RaGOO	19244434	19246084
DNAREP1_DM$3L_RaGOO$19244612$19244797	FBgn0262031	e7ca8eb9-27ae-494b-bde5-dd1113cc1ecf	163	3L_RaGOO	19244434	19246084
DNAREP1_DM$2R_RaGOO$3424288$3424450	FBgn0040007	acc89058-c23e-4486-955a-27f511431a7a	29	2R_RaGOO	3424420	3472234
DNAREP1_DM$2L_RaGOO$10385196$10385374	FBgn0051716	78294a7c-4c96-4090-84d7-d3a494500cc1	171	2L_RaGOO	10384247	10386218
DMTOM1_LTR$X_RaGOO$11258002$11258389	FBgn0262850	dff4d622-6eba-4a6f-865d-c7febce30849	288	X_RaGOO	11250058	11258314
QUASIMODO_LTR$2R_RaGOO$3561204$3567967	FBgn0040005	79f70b63-12ae-47df-b90f-c87d90357c16	31	2R_RaGOO	3559488	3561236
DNAREP1_DM$2L_RaGOO$10385196$10385374	FBgn0051716	41f2424d-df6f-4fdc-9b69-98a854a15438	174	2L_RaGOO	10384212	10386208
DNAREP1_DM$2L_RaGOO$10385196$10385374	FBgn0051716	7bb1c9ba-af7c-4a9a-81d0-da91d192c483	167	2L_RaGOO	10384220	10386205
M4DM$2R_RaGOO$14057565$14057772	FBgn0034008	21fabb07-ac7d-4947-8005-b1ea29db7665	14	2R_RaGOO	14057758	14059091
DNAREP1_DM$4_RaGOO$1257458$1258619	FBgn0053653	2211f6cc-2b21-4cf9-86f6-ef65ce20367b	77	4_RaGOO	1258323	1262734
QUASIMODO_LTR$4_RaGOO$1257863$1258368	FBgn0053653	2211f6cc-2b21-4cf9-86f6-ef65ce20367b	45	4_RaGOO	1258323	1262734
S2_DM$2L_RaGOO$4991174$4991386	FBgn0031657	1436930d-6cb8-48c3-a11b-e7aced8e088c	186	2L_RaGOO	4987587	4991367
DNAREP1_DM$3L_RaGOO$22968026$22968415	FBgn0266347	cde4d1b3-fcea-4c8d-b6e8-95b56ec7c684	23	3L_RaGOO	22958477	22968050
DNAREP1_DM$4_RaGOO$962497$962893	FBgn0264822	237a9497-cc99-459d-b7ce-d62b9c82e858	53	4_RaGOO	952264	965899
DNAREP1_DM$4_RaGOO$962497$962893	FBgn0083990	237a9497-cc99-459d-b7ce-d62b9c82e858	53	4_RaGOO	952264	965899
DNAREP1_DM$3L_RaGOO$19244612$19244797	FBgn0052207	f6455ad1-2a0e-4e6b-9bad-c4c2f8f4a2fd	176	3L_RaGOO	19244441	19246080
DNAREP1_DM$3L_RaGOO$19244612$19244797	FBgn0262031	f6455ad1-2a0e-4e6b-9bad-c4c2f8f4a2fd	176	3L_RaGOO	19244441	19246080
DNAREP1_DM$3L_RaGOO$26181088$26181552	FBgn0024804	97b407d0-7167-49e5-9bc7-73d3d401e7e4	85	3L_RaGOO	26059642	26217783
DNAREP1_DM$3L_RaGOO$26217318$26218255	FBgn0024804	97b407d0-7167-49e5-9bc7-73d3d401e7e4	66	3L_RaGOO	26059642	26217783
