Subclass	Superfamily	Family	Insertion	Count	Reads	mean_subcov
LINE	I	IVK_DM	IVK_DM$2L_RaGOO$1$356	0	set()	0.0
LTR	Gypsy	DM297_I	DM297_I$2L_RaGOO$366$2025	0	set()	0.0
LINE	I-Jockey	TAHRE	TAHRE$2L_RaGOO$4083$4246	0	set()	0.0
LINE	I-Jockey	TART-A	TART-A$2L_RaGOO$4304$8214	3	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa9640373a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037400>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037340>}	0.4841432225063939
LINE	I-Jockey	TAHRE	TAHRE$2L_RaGOO$5229$7346	16	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa9640372e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037040>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa9648a3ee0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037280>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037220>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa9648a3d60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa9648a3e80>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037160>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa9648a3e20>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa9648a3ca0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa9640371c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa9640370a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa9648a3fa0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa9648a3dc0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa9648a3f40>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037100>}	0.2829475673122343
LINE	I-Jockey	TAHRE	TAHRE$2L_RaGOO$5506$7403	0	set()	0.0
LINE	I-Jockey	TART-A	TART-A$2L_RaGOO$7404$7572	0	set()	0.0
LTR	Gypsy	MDG1_LTR	MDG1_LTR$2L_RaGOO$8208$9729	0	set()	0.0
LTR	Gypsy	ZAM_I	ZAM_I$2L_RaGOO$10009$10694	0	set()	0.0
LTR	Gypsy	QUASIMODO_LTR	QUASIMODO_LTR$2L_RaGOO$10703$23126	0	set()	0.0
LTR	Copia	Copia_LTR	Copia_LTR$2L_RaGOO$12650$17604	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037640>}	0.7557529269277352
LTR	Gypsy	QUASIMODO_I	QUASIMODO_I$2L_RaGOO$23127$26120	0	set()	0.0
LTR	Gypsy	MDG1_LTR	MDG1_LTR$2L_RaGOO$24752$25694	0	set()	0.0
LTR	Gypsy	BLASTOPIA_I	BLASTOPIA_I$2L_RaGOO$26796$29201	0	set()	0.0
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$29304$30758	0	set()	0.0
DNA	CMC-Transib	M4DM	M4DM$2L_RaGOO$30759$32079	0	set()	0.0
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$35232$36617	0	set()	0.0
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$36718$38264	0	set()	0.0
LINE	I-Jockey	TAHRE	TAHRE$2L_RaGOO$38366$47731	3	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037820>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa9640377c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037760>}	0.13411639081687132
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$93733$93981	9	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037b20>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa9640374c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037ac0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037b80>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037a60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037a00>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa9640379a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037be0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037940>}	1.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$97097$97338	4	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039100>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037fa0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039040>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa9640390a0>}	1.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$124715$125248	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037e80>}	1.0
LINE	I-Jockey	BS2	BS2$2L_RaGOO$128782$129373	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$180928$181388	8	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037f40>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037e20>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037d60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037dc0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037c40>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037ee0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037d00>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037ca0>}	1.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$237259$237456	4	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039460>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039400>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039340>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa9640393a0>}	1.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$242913$243212	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa9640394c0>}	1.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$244451$244726	4	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039640>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039580>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa9640395e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa9640396a0>}	0.11272727272727273
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$372391$373898	18	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039a60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039820>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039a00>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa9640397c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964037460>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039520>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa9640398e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039ca0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa9640392e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039c40>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039ac0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039940>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa9640399a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039be0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039d00>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039b20>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039b80>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039880>}	1.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$687610$687837	0	set()	0.0
LTR	Pao	ROO_LTR	ROO_LTR$2L_RaGOO$833659$841384	3	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039ee0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039e20>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039dc0>}	1.0
LTR	Gypsy	MDG1_LTR	MDG1_LTR$2L_RaGOO$1126248$1133534	11	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa96403a040>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa96403a280>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa96403a100>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa96403a0a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa964039fa0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa96403a2e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa96403a340>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa96403a160>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa96403a1c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa96403a220>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa96403a3a0>}	1.0
