Subclass	Superfamily	Family	nb_of_insertion	Min_TE_length	Max_TE_length	Female_Counts	Female_nb_of_expressed_insertion	Female_most_expressed_insertion	Male_Counts	Male_nb_of_expressed_insertion	Male_most_expressed_insertion
LINE	I	IVK_DM	39	196	7386	3	2	IVK_DM$3L_RaGOO$19656431$19661800	3	2	IVK_DM$3L_RaGOO$19656431$19661800
LTR	Gypsy	DM297_I	63	171	10825	5	4	DM297_I$2R_RaGOO$2216579$2220068	4	3	DM297_I$2R_RaGOO$16168$20202
LINE	I-Jockey	TAHRE	20	164	17305	8	5	TAHRE$2R_RaGOO$3700966$3703361	590	12	TAHRE$2R_RaGOO$1145909$1151824
LINE	I-Jockey	TART-A	13	169	8596	9	3	TART-A$3L_RaGOO$24811306$24813320	196	9	TART-A$X_RaGOO$3$3271
LTR	Gypsy	MDG1_LTR	27	170	7346	4	4	MDG1_LTR$2L_RaGOO$1126248$1133534	5	3	MDG1_LTR$3L_RaGOO$22730419$22737426
LTR	Gypsy	ZAM_I	46	175	13885	3	3	ZAM_I$2L_RaGOO$21996184$22001667	12	6	ZAM_I$2R_RaGOO$318802$322161
LTR	Gypsy	QUASIMODO_LTR	70	170	12424	2	2	QUASIMODO_LTR$2R_RaGOO$3561204$3567967	65	15	QUASIMODO_LTR$3R_RaGOO$3643836$3644407
LTR	Copia	Copia_LTR	11	4955	5149	135	11	Copia_LTR$3L_RaGOO$10022428$10027467	278	10	Copia_LTR$3L_RaGOO$10022428$10027467
LTR	Gypsy	QUASIMODO_I	72	153	12746	3	3	QUASIMODO_I$2R_RaGOO$256786$257516	48	9	QUASIMODO_I$2R_RaGOO$4031047$4034609
LTR	Gypsy	BLASTOPIA_I	35	168	4996	0	0	BLASTOPIA_I$2L_RaGOO$26796$29201	34	3	BLASTOPIA_I$3R_RaGOO$11787155$11791536
DNA	hAT-hobo	HOBO	112	162	4700	6	3	HOBO$3R_RaGOO$6507951$6508748	10	5	HOBO$2R_RaGOO$16868949$16869869
DNA	CMC-Transib	M4DM	76	157	2800	2	2	M4DM$2L_RaGOO$19850340$19851052	74	10	M4DM$3R_RaGOO$18819049$18819386
DNA	RC	DNAREP1_DM	2472	152	1187	142	73	DNAREP1_DM$3L_RaGOO$9331329$9331735	722	170	DNAREP1_DM$3R_RaGOO$3758706$3759140
LINE	I-Jockey	BS2	115	161	9057	8	3	BS2$3R_RaGOO$1307811$1307988	19	12	BS2$2R_RaGOO$3748515$3753218
LTR	Pao	ROO_LTR	57	164	11106	1	1	ROO_LTR$3R_RaGOO$24484209$24493255	4	4	ROO_LTR$2L_RaGOO$1554051$1563114
LTR	Unknown	XDMR	139	153	478	0	0	XDMR$2L_RaGOO$1258931$1259139	7	4	XDMR$3R_RaGOO$22915727$22916034
LINE	I-Jockey	FW2_DM	195	169	9477	2	2	FW2_DM$3L_RaGOO$25562036$25565634	36	11	FW2_DM$2R_RaGOO$4440629$4442178
