Family	Min_TE_length	Max_TE_length	Counts	nb_of_insertion	nb_of_expressed_insertion	Most_expressed_insertion
IVK_DM	101	7385	1	41	1	IVK_DM_2L_RaGOO_22704820_22710190
DM297	101	10824	17	129	12	DM297_I_3L_RaGOO_23554210_23561573
TAHRE	106	17304	668	22	12	TAHRE_2R_RaGOO_1145909_1151824
TART-A	119	8595	210	14	9	TART-A_X_RaGOO_3_3271
HETA	109	8920	785	16	14	HETA_3L_RaGOO_12349_18402
MDG1	129	12111	23	86	15	MDG1_I_3L_RaGOO_26187065_26193623
ZAM	174	14968	31	56	10	ZAM_LTR_3R_RaGOO_3216098_3221945
QUASIMODO	127	12745	168	144	29	QUASIMODO_I_2R_RaGOO_3940692_3953437
Copia	101	8722	310	46	13	Copia_LTR_3L_RaGOO_10022428_10027467
BLASTOPIA	115	5028	179	45	11	BLASTOPIA_LTR_3R_RaGOO_8215021_8220047
HOBO	102	4699	1	121	1	HOBO_2R_RaGOO_7159203_7161067
M4DM	122	2799	67	81	9	M4DM_3L_RaGOO_25699978_25702772
IDEFIX	106	10843	65	147	12	IDEFIX_I_2R_RaGOO_1769992_1776196
DNAREP1_DM	101	1186	43	3013	9	DNAREP1_DM_X_RaGOO_19819128_19819898
BS2	120	9056	10	117	4	BS2_2R_RaGOO_3748515_3753218
I_DM	104	9320	47	113	5	I_DM_2R_RaGOO_3940884_3949864
ROO	101	15803	199	439	47	ROO_I_3R_RaGOO_14005164_14015074
FW2_DM	103	9476	29	209	15	FW2_DM_2R_RaGOO_4440629_4442178
BS	101	7501	3	66	3	BS_3L_RaGOO_26196418_26197513
BLOOD	197	11421	1	16	1	BLOOD_LTR_X_RaGOO_21195612_21207033
TRANSPAC	244	5251	116	14	12	TRANSPAC_LTR_3R_RaGOO_21217775_21223024
POGO	233	3577	30	25	6	POGO_2R_RaGOO_7201268_7202754
DM412	111	7034	14	60	10	DM412_2R_RaGOO_2546519_2550576
LINEJ1_DM	108	9493	28	104	23	LINEJ1_DM_2R_RaGOO_14471638_14476659
NOMAD	118	10512	599	63	19	NOMAD_I_X_RaGOO_21274295_21280935
ACCORD2	103	14301	13	96	6	ACCORD2_LTR_3R_RaGOO_2682514_2690116
MICROPIA	108	8922	51	118	21	MICROPIA_I_X_RaGOO_17340828_17345349
BURDOCK	110	9008	58	32	10	BURDOCK_LTR_3L_RaGOO_10638503_10641077
S2_DM	151	2392	1	27	1	S2_DM_2L_RaGOO_22291772_22294164
TART_B1	104	6178	260	19	3	TART_B1_2R_RaGOO_23920095_23923160
S_DM	104	3166	14	143	12	S_DM_X_RaGOO_22014157_22017323
POGON1	143	191	0	31	0	POGON1_X_RaGOO_18687224_18687414
FB4_DM	102	7578	82	197	10	FB4_DM_2R_RaGOO_3378778_3380218
G4_DM	108	6021	48	53	8	G4_DM_3L_RaGOO_25501627_25504470
DOC6_DM	140	4219	15	12	7	DOC6_DM_3R_RaGOO_16647782_16651989
DMRT1A	104	8463	25	81	3	DMRT1A_2R_RaGOO_3571985_3576878
DOC	106	8479	28	90	18	DOC_3R_RaGOO_24532793_24537308
MDG3	106	6745	8	28	5	MDG3_LTR_X_RaGOO_14587062_14592565
DMRT1B	102	10034	17	115	5	DMRT1B_2R_RaGOO_4404275_4406331
DMCR1A	101	8863	117	565	16	DMCR1A_2L_RaGOO_22244771_22248301
NOF_FB	145	4730	0	8	0	NOF_FB_3R_RaGOO_20805074_20805219
DIVER	146	10026	3	15	2	DIVER_LTR_3L_RaGOO_23629771_23635886
Transib-N1_DM	101	868	0	34	0	Transib-N1_DM_X_RaGOO_21982034_21982520
DOC4_DM	111	5020	14	45	3	DOC4_DM_3R_RaGOO_2078255_2082453
R1_DM	104	5365	0	40	0	R1_DM_X_RaGOO_22035303_22036386
TC1_DM	104	2687	0	54	0	TC1_DM_X_RaGOO_21934915_21935019
Gypsy6A_LTR	107	7605	13	56	4	Gypsy6A_LTR_2R_RaGOO_2808245_2809716
G2_DM	110	3757	1	27	1	G2_DM_2R_RaGOO_3025369_3027218
PROTOP	107	8385	21	270	13	PROTOP_2R_RaGOO_3122666_3125187
G_DM	109	6499	15	42	4	G_DM_X_RaGOO_22004213_22008714
G6_DM	214	3511	2	20	1	G6_DM_X_RaGOO_22029501_22033012
G5_DM	104	4775	5	65	3	G5_DM_3R_RaGOO_5264596_5267762
TC1-2_DM	139	1629	0	54	0	TC1-2_DM_X_RaGOO_21902559_21903267
Transib5	106	5116	2	30	2	Transib5_3R_RaGOO_1262033_1264059
PROTOP_B	101	2140	6	328	4	PROTOP_B_4_RaGOO_175159_176280
Jockey2	104	3418	104	41	4	Jockey2_X_RaGOO_21275337_21276483
