Family	Min_TE_length	Max_TE_length	Counts	nb_of_insertion	nb_of_expressed_insertion	Most_expressed_insertion
IVK_DM	101	7385	6	41	5	IVK_DM_3L_RaGOO_19656431_19661800
DM297	101	10824	6	129	5	DM297_LTR_2L_RaGOO_21241556_21249211
TAHRE	106	17304	7	22	6	TAHRE_3L_RaGOO_20705_26581
TART-A	119	8595	15	14	5	TART-A_3L_RaGOO_24811786_24820381
HETA	109	8920	14	16	7	HETA_X_RaGOO_85920_94840
MDG1	129	12111	12	86	4	MDG1_I_2R_RaGOO_916381_928492
ZAM	174	14968	1	56	1	ZAM_I_2L_RaGOO_22704391_22713973
QUASIMODO	127	12745	10	144	7	QUASIMODO_LTR_2L_RaGOO_10703_23126
Copia	101	8722	161	46	11	Copia_LTR_3L_RaGOO_10022428_10027467
BLASTOPIA	115	5028	6	45	5	BLASTOPIA_LTR_3L_RaGOO_23460661_23465627
HOBO	102	4699	1	121	1	HOBO_2L_RaGOO_8465431_8466942
M4DM	122	2799	2	81	2	M4DM_3L_RaGOO_25693372_25696157
IDEFIX	106	10843	4	147	4	IDEFIX_I_3L_RaGOO_23168345_23170287
DNAREP1_DM	101	1186	4	3013	4	DNAREP1_DM_3R_RaGOO_3686735_3687895
BS2	120	9056	1	117	1	BS2_2R_RaGOO_2406301_2407991
I_DM	104	9320	4	113	3	I_DM_2R_RaGOO_5384607_5388061
ROO	101	15803	517	439	12	ROO_I_X_RaGOO_4684190_4696799
FW2_DM	103	9476	2	209	2	FW2_DM_3R_RaGOO_1276264_1280608
BS	101	7501	2	66	2	BS_3L_RaGOO_25670374_25671727
BLOOD	197	11421	15	16	3	BLOOD_LTR_2L_RaGOO_2148055_2155527
TRANSPAC	244	5251	0	14	0	TRANSPAC_I_3R_RaGOO_26707140_26711871
POGO	233	3577	220	25	18	POGO_X_RaGOO_21863530_21864880
DM412	111	7034	8	60	4	DM412_3R_RaGOO_3388391_3389451
LINEJ1_DM	108	9493	0	104	0	LINEJ1_DM_X_RaGOO_21500081_21500582
NOMAD	118	10512	2	63	2	NOMAD_LTR_3R_RaGOO_1014813_1022279
ACCORD2	103	14301	7	96	2	ACCORD2_LTR_3L_RaGOO_24099817_24111803
MICROPIA	108	8922	36	118	18	MICROPIA_I_X_RaGOO_17340828_17345349
