TE_ID	Gene_ID	Read_ID	Nb_of_aligned_bp_on_TE	Chrom	Start	End
ROO_I$2L_RaGOO$1537349$1537503	FBgn0051661	8a8e30e9-472b-43f0-86a5-4ca97fd5f253	148	2L_RaGOO	1536549	1538276
DNAREP1_DM$2L_RaGOO$21685467$21685865	FBgn0032981	69c9e9ea-40ba-4f31-947e-1b03c003c07f	46	2L_RaGOO	21685819	21690634
G_DM$3L_RaGOO$22645435$22645864	FBgn0262509	fe1e69e7-9591-491c-b4e7-7a1596bfeb0c	368	3L_RaGOO	22645024	22645835
G_DM$3L_RaGOO$22645435$22645864	FBgn0262509	649c69e0-afa3-43fb-b9fd-07cfb08fa281	283	3L_RaGOO	22644745	22645821
DNAREP1_DM$3L_RaGOO$26181088$26181552	FBgn0024804	70ce1f3a-f8db-47ef-9ae7-395c2a2d59d0	69	3L_RaGOO	26059648	26217784
DNAREP1_DM$3L_RaGOO$26217318$26218255	FBgn0024804	70ce1f3a-f8db-47ef-9ae7-395c2a2d59d0	108	3L_RaGOO	26059648	26217784
DMRT1B$X_RaGOO$18329002$18330754	FBgn0030958	3ff402c8-86ca-4262-afe1-98f102c2c5af	1655	X_RaGOO	18328966	18331149
DMRT1B$X_RaGOO$18329002$18330754	FBgn0030959	3ff402c8-86ca-4262-afe1-98f102c2c5af	1655	X_RaGOO	18328966	18331149
FB4_DM$3R_RaGOO$16914758$16917850	FBgn0000063	4d1ca326-85b7-4d83-93a8-febadf3e0deb	26	3R_RaGOO	16912242	16914784
PROTOP_A$3R_RaGOO$4009289$4010311	FBgn0037262	72a6d52f-407c-4b52-966a-6e63a674b69b	53	3R_RaGOO	4009786	4114690
PROTOP_A$3R_RaGOO$4009289$4010311	FBgn0037263	72a6d52f-407c-4b52-966a-6e63a674b69b	53	3R_RaGOO	4009786	4114690
DNAREP1_DM$2R_RaGOO$4909669$4909917	FBgn0025693	a6d84887-53d2-42ad-b80d-0c93bfa93cfc	87	2R_RaGOO	4909359	4909817
QUASIMODO_LTR$3L_RaGOO$7266735$7267031	FBgn0035769	a1f2dfa8-b1ae-4b3a-be1b-58abe29ffdb1	215	3L_RaGOO	7263555	7266959
QUASIMODO_LTR$3L_RaGOO$7266735$7267031	FBgn0267472	a1f2dfa8-b1ae-4b3a-be1b-58abe29ffdb1	215	3L_RaGOO	7263555	7266959
DNAREP1_DM$3L_RaGOO$26181088$26181552	FBgn0024804	e399a79e-1fd5-4645-b2c0-c43754b9baa5	83	3L_RaGOO	26059638	26217761
DNAREP1_DM$3L_RaGOO$26217318$26218255	FBgn0024804	e399a79e-1fd5-4645-b2c0-c43754b9baa5	42	3L_RaGOO	26059638	26217761
TART_B1$2L_RaGOO$11931931$11932156	FBgn0051865	a0fb033a-8ba0-4fa9-9222-f682cbc7a8ae	220	2L_RaGOO	11931746	11933083
ROO_I$2L_RaGOO$1537349$1537503	FBgn0051661	727f6f3a-51d1-4ed8-839f-5e8799c7a1c2	148	2L_RaGOO	1536544	1538556
BEL_I$2R_RaGOO$2343602$2347767	FBgn0020908	53a1ff1a-8aab-431a-8a7a-3b941c03a340	1072	2R_RaGOO	2337736	2345884
BEL_I$2R_RaGOO$2344698$2344931	FBgn0020908	53a1ff1a-8aab-431a-8a7a-3b941c03a340	217	2R_RaGOO	2337736	2345884
FB4_DM$3R_RaGOO$16914758$16917850	FBgn0000063	e6a03daa-7280-409c-8c1b-2ff45ccfc2fd	31	3R_RaGOO	16912065	16914789
DNAREP1_DM$3R_RaGOO$3851606$3852087	FBgn0037239	0ac02142-86d3-4b18-82ad-20dda1eedf0c	26	3R_RaGOO	3852058	3854723
ROO_I$2L_RaGOO$1537349$1537503	FBgn0051661	51577dbc-0886-4a50-9b02-ff77fe19386c	152	2L_RaGOO	1536527	1538271
FW2_DM$2L_RaGOO$10097846$10102523	FBgn0267727	d3e918e2-7b8c-4373-81f3-9339d09402ef	50	2L_RaGOO	10040408	10099580
DNAREP1_DM$2R_RaGOO$8743543$8743799	FBgn0285892	2da5104a-3c76-4ab2-8c25-9c9322e77e57	250	2R_RaGOO	8743221	8748186
DNAREP1_DM$2R_RaGOO$8743543$8743799	FBgn0033464	2da5104a-3c76-4ab2-8c25-9c9322e77e57	250	2R_RaGOO	8743221	8748186
DNAREP1_DM$4_RaGOO$658454$659354	FBgn0024728	55d13194-758a-4fc8-a97f-43c563f67f06	865	4_RaGOO	657390	659530
DNAREP1_DM$4_RaGOO$659404$659665	FBgn0024728	55d13194-758a-4fc8-a97f-43c563f67f06	125	4_RaGOO	657390	659530
TART_B1$2L_RaGOO$11928093$11928246	FBgn0051866	8d3d9251-7b86-4eab-a58d-c509fe8f5a7d	135	2L_RaGOO	11927780	11929185
FB4_DM$2R_RaGOO$4706797$4707930	FBgn0267861	f6ccf8ff-4617-40e2-9159-95fca3f6c144	255	2R_RaGOO	4705404	4707746
FB4_DM$2R_RaGOO$4707085$4707999	FBgn0267861	f6ccf8ff-4617-40e2-9159-95fca3f6c144	255	2R_RaGOO	4705404	4707746
DMCR1A$3R_RaGOO$2325928$2326206	FBgn0267430	ff3614cc-152a-48ff-94cf-0b7d390052ea	204	3R_RaGOO	2324899	2326141
DMCR1A$3R_RaGOO$2325928$2326206	FBgn0266747	ff3614cc-152a-48ff-94cf-0b7d390052ea	204	3R_RaGOO	2324899	2326141
DNAREP1_DM$3L_RaGOO$26217318$26218255	FBgn0024804	42701bad-9ec1-4366-b5a6-228c1149e731	69	3L_RaGOO	26059652	26217783
DOC$3R_RaGOO$24532793$24537308	FBgn0045761	92b2ab50-57d7-4b4b-af94-ece92ceef021	173	3R_RaGOO	24531568	24532977
ROO_I$2L_RaGOO$1537349$1537503	FBgn0051661	cba3e781-a194-4a77-ae35-87414406b985	152	2L_RaGOO	1536544	1538337
Transib5$2R_RaGOO$1408809$1410193	FBgn0087011	f26926bd-7312-4b7e-b57f-ce95ceb86b9b	315	2R_RaGOO	1390724	1409838
DNAREP1_DM$4_RaGOO$1225939$1226317	FBgn0053653	b71bd06d-7134-40a1-a47d-7587ed17dc4b	359	4_RaGOO	1223754	1226510
ROO_I$2L_RaGOO$1537349$1537503	FBgn0051661	06757b5f-e5ac-4b00-b1bb-1e3e9e0baa5f	148	2L_RaGOO	1536544	1538294
Transib5$2R_RaGOO$1408809$1410193	FBgn0087011	e0f27774-db34-4684-835e-b2ed0566644d	299	2R_RaGOO	1390755	1409816
TART_B1$2L_RaGOO$11928093$11928246	FBgn0051866	79e85442-24c6-4435-92f3-8702a94bba56	153	2L_RaGOO	11927814	11929191
TRANSIB2$2R_RaGOO$1819719$1821473	FBgn0263780	c4212a4c-229d-4e95-9a73-7fa98a11df6f	73	2R_RaGOO	1818964	1820137
DOC$3L_RaGOO$24733562$24735608	FBgn0040020	f5421ef8-51d5-4f8b-beb5-4ab3aa59431f	380	3L_RaGOO	24733015	24733963
DNAREP1_DM$2R_RaGOO$5317862$5318316	FBgn0050432	1a0c5991-3877-48a2-b06d-bfa4e1425099	21	2R_RaGOO	5316996	5317883
S2_DM$2L_RaGOO$4991174$4991386	FBgn0031659	2d301f67-ca80-4ce2-a7ad-947d9458272b	21	2L_RaGOO	4989147	4991195
ROO_I$2L_RaGOO$1537349$1537503	FBgn0051661	08a9affc-77fa-4087-84e4-3e8673189769	146	2L_RaGOO	1536544	1538291
ROO_I$2L_RaGOO$1537349$1537503	FBgn0051661	f9ae7b46-9424-43dc-a1de-2a592b3f68bd	152	2L_RaGOO	1536544	1538387
DNAREP1_DM$3R_RaGOO$5952853$5953133	FBgn0053202	9fa7e885-74fb-4a02-af80-c27c0dd8b97b	276	3R_RaGOO	5949795	5953336
ROO_I$2L_RaGOO$1537349$1537503	FBgn0051661	a195a7ec-a27a-4219-850c-628a3b942ca9	148	2L_RaGOO	1536544	1538003
ROO_I$3R_RaGOO$12957465$12959168	FBgn0024555	a4683058-1683-496c-bb07-183689284b5c	1233	3R_RaGOO	12956293	13000952
DNAREP1_DM$3L_RaGOO$26217318$26218255	FBgn0024804	19bc7b45-d134-4693-883a-59025e64e061	47	3L_RaGOO	26059636	26217761
