Subclass	Superfamily	Family	Insertion	Counting	Reads	mean_subcov
LINE	I	IVK_DM	IVK_DM$2L_RaGOO$1$356	0	set()	0.0
LTR	Gypsy	DM297_I	DM297_I$2L_RaGOO$366$2025	0	set()	0.0
LINE	I-Jockey	TAHRE	TAHRE$2L_RaGOO$4083$4246	0	set()	0.0
LINE	I-Jockey	TART-A	TART-A$2L_RaGOO$4304$8214	0	set()	0.0
LINE	I-Jockey	TAHRE	TAHRE$2L_RaGOO$5229$7346	0	set()	0.0
LINE	I-Jockey	TAHRE	TAHRE$2L_RaGOO$5506$7403	0	set()	0.0
LINE	I-Jockey	TART-A	TART-A$2L_RaGOO$7404$7572	0	set()	0.0
LTR	Gypsy	MDG1_LTR	MDG1_LTR$2L_RaGOO$8208$9729	0	set()	0.0
LTR	Gypsy	ZAM_I	ZAM_I$2L_RaGOO$10009$10694	0	set()	0.0
LTR	Gypsy	QUASIMODO_LTR	QUASIMODO_LTR$2L_RaGOO$10703$23126	0	set()	0.0
LTR	Copia	Copia_LTR	Copia_LTR$2L_RaGOO$12650$17604	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2e9160>}	0.9444893015744853
LTR	Gypsy	QUASIMODO_I	QUASIMODO_I$2L_RaGOO$23127$26120	0	set()	0.0
LTR	Gypsy	MDG1_LTR	MDG1_LTR$2L_RaGOO$24752$25694	0	set()	0.0
LTR	Gypsy	BLASTOPIA_I	BLASTOPIA_I$2L_RaGOO$26796$29201	0	set()	0.0
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$29304$30758	0	set()	0.0
DNA	CMC-Transib	M4DM	M4DM$2L_RaGOO$30759$32079	0	set()	0.0
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$35232$36617	0	set()	0.0
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$36718$38264	0	set()	0.0
LINE	I-Jockey	TAHRE	TAHRE$2L_RaGOO$38366$47731	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2f3b80>}	0.11169247197010145
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$93733$93981	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$97097$97338	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$124715$125248	0	set()	0.0
LINE	I-Jockey	BS2	BS2$2L_RaGOO$128782$129373	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$180928$181388	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$237259$237456	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$242913$243212	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$244451$244726	0	set()	0.0
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$372391$373898	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$687610$687837	0	set()	0.0
LTR	Pao	ROO_LTR	ROO_LTR$2L_RaGOO$833659$841384	0	set()	0.0
LTR	Gypsy	MDG1_LTR	MDG1_LTR$2L_RaGOO$1126248$1133534	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2f3ee0>}	0.9302772440296458
LTR	Unknown	XDMR	XDMR$2L_RaGOO$1258931$1259139	0	set()	0.0
LINE	I-Jockey	FW2_DM	FW2_DM$2L_RaGOO$1444418$1448277	0	set()	0.0
LTR	Pao	ROO_I	ROO_I$2L_RaGOO$1537349$1537503	0	set()	0.0
LTR	Pao	ROO_LTR	ROO_LTR$2L_RaGOO$1554051$1563114	0	set()	0.0
LINE	I	I_DM	I_DM$2L_RaGOO$1625948$1627478	0	set()	0.0
LTR	Gypsy	IDEFIX_LTR	IDEFIX_LTR$2L_RaGOO$1825562$1826127	0	set()	0.0
LTR	Gypsy	IDEFIX_I	IDEFIX_I$2L_RaGOO$1826802$1833031	0	set()	0.0
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$2112298$2113807	0	set()	0.0
LTR	Gypsy	BLOOD_LTR	BLOOD_LTR$2L_RaGOO$2148055$2155527	5	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2f3880>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2f3b20>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2f36a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2f3ac0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2f3640>}	0.1812098501070664
LTR	Pao	ROO_LTR	ROO_LTR$2L_RaGOO$2211041$2220159	0	set()	0.0
LTR	Gypsy	TRANSPAC_LTR	TRANSPAC_LTR$2L_RaGOO$2221225$2226474	0	set()	0.0
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$2751039$2752553	0	set()	0.0
DNA	TcMar-Pogo	POGO	POGO$2L_RaGOO$2955877$2958004	6	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2ee280>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2ee220>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2eef40>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2ee1c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2ee160>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2ee2e0>}	0.960664472653189
LTR	Gypsy	DM412	DM412$2L_RaGOO$3096440$3096922	0	set()	0.0
LTR	Gypsy	DM412	DM412$2L_RaGOO$3096923$3097499	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2eeca0>}	1.0
LTR	Gypsy	DM412	DM412$2L_RaGOO$3097494$3103467	0	set()	0.0
LTR	Gypsy	DM412B_LTR	DM412B_LTR$2L_RaGOO$3103468$3103948	0	set()	0.0
LINE	I-Jockey	LINEJ1_DM	LINEJ1_DM$2L_RaGOO$3156645$3161540	0	set()	0.0
LTR	Gypsy	BLOOD_LTR	BLOOD_LTR$2L_RaGOO$3268611$3276063	4	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2f3340>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2eed60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2f35e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2f30a0>}	0.2126274825550188
LTR	Gypsy	NOMAD_LTR	NOMAD_LTR$2L_RaGOO$3400786$3408481	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$3421488$3421641	0	set()	0.0
LTR	Unknown	XDMR_DM	XDMR_DM$2L_RaGOO$3429048$3429222	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$3489552$3489953	0	set()	0.0
LTR	Unknown	XDMR_DM	XDMR_DM$2L_RaGOO$3594913$3595080	0	set()	0.0
LTR	Unknown	DMRP1	DMRP1$2L_RaGOO$3717520$3717689	0	set()	0.0
LTR	Unknown	DMRP1	DMRP1$2L_RaGOO$3879756$3879953	0	set()	0.0
LTR	Gypsy	ACCORD2_I	ACCORD2_I$2L_RaGOO$3969176$3969396	0	set()	0.0
LTR	Gypsy	MICROPIA_I	MICROPIA_I$2L_RaGOO$3970137$3974092	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2f3160>}	0.3461441213653603
LTR	Gypsy	ACCORD2_I	ACCORD2_I$2L_RaGOO$3974129$3974349	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2f3520>}	0.19090909090909092
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$4059121$4059356	0	set()	0.0
LINE	I-Jockey	FW2_DM	FW2_DM$2L_RaGOO$4177642$4182314	0	set()	0.0
LINE	I-Jockey	LINEJ1_DM	LINEJ1_DM$2L_RaGOO$4191513$4194179	0	set()	0.0
LTR	Gypsy	DM297_LTR	DM297_LTR$2L_RaGOO$4310346$4316635	0	set()	0.0
LTR	Gypsy	BURDOCK_LTR	BURDOCK_LTR$2L_RaGOO$4499214$4501787	3	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2eeac0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2eea60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873d2eea00>}	0.8030833009457184
DNA	TcMar-Tc1	S2_DM	S2_DM$2L_RaGOO$4991174$4991386	0	set()	0.0
LINE	I-Jockey	TART_B1	TART_B1$2L_RaGOO$5202514$5202688	0	set()	0.0
LTR	Pao	ROO_I	ROO_I$2L_RaGOO$5335297$5335488	0	set()	0.0
LTR	Pao	ROO_I	ROO_I$2L_RaGOO$5336270$5336456	0	set()	0.0
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$5719554$5721064	0	set()	0.0
DNA	TcMar-Tc1	S_DM	S_DM$2L_RaGOO$6107470$6107859	0	set()	0.0
DNA	TcMar-Tc1	S_DM	S_DM$2L_RaGOO$6107868$6108026	0	set()	0.0
LTR	Unknown	XDMR_DM	XDMR_DM$2L_RaGOO$6244446$6244606	0	set()	0.0
LINE	I-Jockey	FW2_DM	FW2_DM$2L_RaGOO$6616329$6619107	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$7060967$7061251	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$7205010$7205387	0	set()	0.0
LTR	Pao	ROO_LTR	ROO_LTR$2L_RaGOO$7405225$7414219	0	set()	0.0
