Subclass	Superfamily	Family	Insertion	Counting	Reads	mean_subcov
LINE	I	IVK_DM	IVK_DM$2L_RaGOO$1$356	0	set()	0.0
LTR	Gypsy	DM297_I	DM297_I$2L_RaGOO$366$2025	0	set()	0.0
LINE	I-Jockey	TAHRE	TAHRE$2L_RaGOO$4083$4246	0	set()	0.0
LINE	I-Jockey	TART-A	TART-A$2L_RaGOO$4304$8214	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f873f50ed60>}	0.4721227621483376
LINE	I-Jockey	TAHRE	TAHRE$2L_RaGOO$5229$7346	7	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f873f514ca0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873f514b80>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873f514d60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873f514be0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873f364fa0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873f514d00>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873f514c40>}	0.272285579323841
LINE	I-Jockey	TAHRE	TAHRE$2L_RaGOO$5506$7403	9	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f873d5aa0a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873f514dc0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873d5aa040>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873f514fa0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873f514e80>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873d5aa1c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873f514e20>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873f514f40>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873f514ee0>}	0.3453405962631055
LINE	I-Jockey	TART-A	TART-A$2L_RaGOO$7404$7572	0	set()	0.0
LTR	Gypsy	MDG1_LTR	MDG1_LTR$2L_RaGOO$8208$9729	0	set()	0.0
LTR	Gypsy	ZAM_I	ZAM_I$2L_RaGOO$10009$10694	0	set()	0.0
LTR	Gypsy	QUASIMODO_LTR	QUASIMODO_LTR$2L_RaGOO$10703$23126	0	set()	0.0
LTR	Copia	Copia_LTR	Copia_LTR$2L_RaGOO$12650$17604	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f873d5aaa60>}	0.7557529269277352
LTR	Gypsy	QUASIMODO_I	QUASIMODO_I$2L_RaGOO$23127$26120	0	set()	0.0
LTR	Gypsy	MDG1_LTR	MDG1_LTR$2L_RaGOO$24752$25694	0	set()	0.0
LTR	Gypsy	BLASTOPIA_I	BLASTOPIA_I$2L_RaGOO$26796$29201	0	set()	0.0
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$29304$30758	0	set()	0.0
DNA	CMC-Transib	M4DM	M4DM$2L_RaGOO$30759$32079	0	set()	0.0
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$35232$36617	0	set()	0.0
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$36718$38264	0	set()	0.0
LINE	I-Jockey	TAHRE	TAHRE$2L_RaGOO$38366$47731	4	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f873d5aaca0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873d5aa160>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873d5aabe0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873d5aac40>}	0.34973304858515747
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$93733$93981	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$97097$97338	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$124715$125248	0	set()	0.0
LINE	I-Jockey	BS2	BS2$2L_RaGOO$128782$129373	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$180928$181388	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$237259$237456	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$242913$243212	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$244451$244726	4	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f873d5aa520>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873d5aa580>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873d5aa460>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f873d5aae20>}	0.11272727272727273
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$372391$373898	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$687610$687837	0	set()	0.0
LTR	Pao	ROO_LTR	ROO_LTR$2L_RaGOO$833659$841384	0	set()	0.0
LTR	Gypsy	MDG1_LTR	MDG1_LTR$2L_RaGOO$1126248$1133534	0	set()	0.0
LINE	I-Jockey	FW2_DM	FW2_DM$2L_RaGOO$1444418$1448277	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f873c73e520>}	0.615703550142524
LTR	Pao	ROO_I	ROO_I$2L_RaGOO$1537349$1537503	11	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef26a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef3100>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734eed640>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734eefee0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef3040>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734eee4c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ee1dc0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef30a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef2a60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef0400>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ed88e0>}	0.9256198347107438
LTR	Pao	ROO_LTR	ROO_LTR$2L_RaGOO$1554051$1563114	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef33a0>}	0.10879399757254772
LINE	I	I_DM	I_DM$2L_RaGOO$1625948$1627478	0	set()	0.0
LTR	Gypsy	IDEFIX_LTR	IDEFIX_LTR$2L_RaGOO$1825562$1826127	0	set()	0.0
LTR	Gypsy	IDEFIX_I	IDEFIX_I$2L_RaGOO$1826802$1833031	0	set()	0.0
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$2112298$2113807	0	set()	0.0
LTR	Gypsy	BLOOD_LTR	BLOOD_LTR$2L_RaGOO$2148055$2155527	0	set()	0.0
LTR	Pao	ROO_LTR	ROO_LTR$2L_RaGOO$2211041$2220159	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef56a0>}	0.8048914235577977
LTR	Gypsy	TRANSPAC_LTR	TRANSPAC_LTR$2L_RaGOO$2221225$2226474	18	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef5ac0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef5d60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef5dc0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef5b20>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef5d00>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef58e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef5b80>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef59a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef5940>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef5a00>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef5be0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef5ca0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef6040>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef5e80>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef5ee0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef5c40>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef5a60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef5e20>}	0.15808302110454903
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$2751039$2752553	0	set()	0.0
DNA	TcMar-Pogo	POGO	POGO$2L_RaGOO$2955877$2958004	3	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef6be0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef6b80>, <pysam.libcalignedsegment.AlignedSegment object at 0x7f8734ef6b20>}	0.9590973201692524
LTR	Gypsy	DM412	DM412$2L_RaGOO$3096440$3096922	0	set()	0.0
LTR	Gypsy	DM412	DM412$2L_RaGOO$3096923$3097499	0	set()	0.0
LTR	Gypsy	DM412	DM412$2L_RaGOO$3097494$3103948	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7f8734efc040>}	0.8160830492717694
LINE	I-Jockey	LINEJ1_DM	LINEJ1_DM$2L_RaGOO$3156645$3161540	0	set()	0.0
LTR	Gypsy	BLOOD_LTR	BLOOD_LTR$2L_RaGOO$3268611$3276063	0	set()	0.0
